-1.3284,-0.8873,-0.62077,-0.58464,-0.93332,-0.85022,-0.11443,-0.83036,-0.85211,-1.5429,-1.6124,-0.82598,-0.79204,-0.22506,-2.587
-1.686,-1.0969,-0.82954,-0.64872,-1.0197,-1.0304,-0.19099,-0.96681,-1.0535,-1.5349,-1.7645,-0.86541,-1.3901,-0.45947,-3.1027
-1.8311,-1.147,-0.87758,-0.718,-1.1316,-1.1469,-0.18727,-1.0799,-1.2551,-1.301,-1.4228,-0.97293,-2.0688,-0.79744,-2.8463
-1.7998,-1.1828,-1.0652,-0.87157,-1.2377,-1.204,-0.37614,-1.1562,-1.4037,-1.2076,-1.279,-1.2816,-2.1138,-1.1718,-2.4076
-1.9567,-1.4433,-1.3099,-1.1119,-1.4114,-1.2225,-0.77179,-1.2642,-1.277,-1.4281,-1.6407,-1.6118,-1.0714,-1.484,-2.3611
-2.072,-1.6991,-1.4894,-1.2937,-1.7602,-1.2457,-1.2889,-1.5767,-1.2713,-1.7931,-1.9604,-1.8517,-0.93263,-1.8984,-2.4337
-1.9666,-1.6745,-1.645,-1.3962,-1.9433,-1.2736,-1.6184,-1.7076,-1.4537,-1.5964,-1.922,-1.763,-1.0521,-1.8997,-2.5174
-1.7385,-1.4825,-1.7664,-1.4066,-1.8653,-1.268,-1.5249,-1.5989,-1.2087,-1.038,-1.7518,-1.3702,-0.63041,-1.6782,-2.5462
-1.652,-1.2674,-1.7587,-1.4028,-1.7408,-1.2555,-1.5264,-1.4693,-0.81913,-0.74338,-1.6709,-1.0583,-0.63278,-1.5308,-2.5754
-1.6147,-1.1656,-1.7097,-1.3751,-1.6917,-1.2589,-1.5755,-1.3854,-0.70418,-0.65159,-1.6308,-0.88217,-0.71671,-1.4362,-2.5939
-1.6081,-1.1993,-1.6853,-1.3892,-1.669,-1.2798,-1.3125,-1.3988,-0.72268,-0.58728,-1.5622,-0.84304,-0.6134,-1.4216,-2.6009
-1.2823,-0.9554,-1.518,-1.5095,-1.6445,-1.2011,-0.70457,-1.4385,-0.8503,-0.13956,-1.2651,-0.88732,-0.78453,-1.3725,-1.5814
-0.96487,-0.71133,-1.3598,-1.5528,-1.6761,-1.298,-0.28758,-1.5549,-1.0861,0.27522,-0.90297,-0.99076,-1.201,-1.3206,-1.362
-0.82783,-0.70049,-1.1307,-1.5575,-1.6661,-1.2929,0.10906,-1.6131,-1.2542,0.32976,-0.68773,-1.0076,-1.3262,-1.482,-1.0479
-0.92945,-0.81979,-1.072,-1.6315,-1.7545,-1.3871,0.040129,-1.7082,-1.4364,0.031537,-0.87703,-1.1235,-1.6657,-1.7518,-0.91989
-1.3068,-1.1924,-1.3018,-1.8075,-1.9562,-1.5681,-0.37179,-1.8899,-1.6944,-0.68732,-1.6859,-1.4552,-1.8529,-2.1249,-1.0662
-1.6517,-1.6628,-1.6403,-1.8617,-2.2189,-1.6242,-0.96558,-2.1112,-1.9774,-1.4167,-2.4878,-1.9252,-2.1255,-2.2936,-1.1019
-1.7139,-1.9255,-1.8224,-1.9457,-2.5712,-1.6289,-1.3763,-2.347,-2.0289,-1.8975,-2.7516,-2.2797,-2.8487,-2.5148,-1.1444
-1.4704,-1.8245,-1.8388,-1.9789,-2.6899,-1.6282,-1.6028,-2.3047,-1.651,-2.0581,-2.5517,-2.1233,-2.5696,-2.5782,-1.154
-1.1613,-1.5858,-1.8157,-1.937,-2.4755,-1.6086,-1.6397,-1.9902,-1.1102,-2.0748,-2.1116,-1.6534,-1.6915,-2.3827,-1.1467
-1.0463,-1.3134,-1.8589,-1.8973,-2.2317,-1.5913,-1.6945,-1.7035,-0.78349,-1.9831,-1.8564,-1.2991,-1.0512,-2.1817,-1.1397
-1.097,-1.1545,-1.8389,-1.858,-2.1003,-1.5853,-1.6057,-1.5157,-0.68459,-1.7783,-1.8354,-1.0947,-0.65267,-1.73,-1.1424
-1.2077,-1.1232,-1.8245,-1.8591,-2.0336,-1.5955,-1.4102,-1.475,-0.67844,-1.6006,-1.8822,-1.0114,-0.72225,-1.6366,-1.2253
-1.3246,-1.2152,-1.9406,-1.9983,-1.9984,-1.7966,-1.0096,-1.4648,-0.77636,-1.4511,-1.9379,-1.0483,-0.95651,-1.6894,-1.5427
