COUNTRY,SHCODE56,OPEN6590,TROPICS,LIFE,ICRGE80,CGB7090,LGDPEA65,GEAP_POP,G7089N,SXP,GR6590,LIFE2,ACCESS,ETHLING
                INDIA,90.000000,0.000000,0.500000,3.779634,5.760410,0.197863,7.213321,0.198436,3.039183,0.016482,2.028538,14.285631,0.000000,89.000000
            INDONESIA,91.000000,0.807692,1.000000,3.751854,3.666660,8.214465,6.994758,0.308862,2.368577,0.112393,4.741573,14.076409,0.000000,76.000000
                 IRAN,92.000000,0.000000,0.000000,3.828641,,,8.816102,0.077829,1.296592,0.119463,-0.014122,14.658495,0.000000,76.000000
               ISRAEL,94.000000,0.230769,0.000000,4.276666,6.088540,-5.243911,8.953651,0.012824,2.763031,0.039851,2.811098,18.289873,0.000000,20.000000
                JAPAN,95.000000,1.000000,0.000000,4.234107,9.367180,-1.155338,8.792190,0.104675,6.780773,0.006396,4.661610,17.927658,0.000000,1.000000
               JORDAN,96.000000,1.000000,0.000000,3.879500,4.083330,-4.840000,8.036944,-0.065901,1.195508,0.089758,2.426597,15.050520,1.000000,5.000000
"         KOREA, SOUTH",97.000000,0.884615,0.000000,4.010963,6.360930,3.202010,7.578642,1.028366,3.310531,0.022417,7.407587,16.087824,0.000000,0.000000
             MALAYSIA,########,1.000000,1.000000,4.018183,6.900000,2.247586,8.098183,0.632038,4.603259,0.368096,4.490973,16.145796,0.000000,72.000000
             PAKISTAN,########,0.000000,0.000000,3.788725,4.109370,0.243343,7.489634,0.141649,2.628816,0.029366,1.763507,14.354436,0.000000,64.000000
          PHILIPPINES,########,0.115385,1.000000,3.996364,2.967700,2.035904,7.777564,0.364385,5.193381,0.125978,1.393416,15.970926,0.000000,74.000000
            SINGAPORE,########,1.000000,1.000000,4.168214,8.559890,8.876044,8.145133,1.117445,4.800504,0.026194,7.387754,17.374010,0.000000,42.000000
                SRI LANKA,########,0.230769,1.000000,4.146304,4.325520,1.808627,7.671905,0.484212,2.272198,0.148043,2.304851,17.191837,0.000000,47.000000
                SYRIA,########,0.038462,0.000000,3.935740,3.078120,9.238943,8.365426,0.199274,1.625428,0.080759,2.654324,15.490046,0.000000,22.000000
               TAIWAN,########,1.000000,0.800000,4.180522,8.238020,7.310000,8.053000,0.960750,3.494687,0.022261,6.345602,17.476768,0.000000,42.000000
             THAILAND,########,1.000000,1.000000,3.985273,6.258850,1.335774,7.710629,0.866678,4.586651,0.085590,4.587257,15.882403,0.000000,66.000000
              AUSTRIA,########,1.000000,0.000000,4.237001,9.447910,0.438812,9.175096,0.255323,2.184765,0.038913,2.912774,17.952177,1.000000,13.000000
              BELGIUM,########,1.000000,0.000000,4.257030,9.710930,-2.643271,9.268847,0.201048,2.002714,0.107747,2.697024,18.122305,0.000000,55.000000
              DENMARK,########,1.000000,0.000000,4.282207,9.679680,1.732296,9.470517,0.150438,2.032924,0.098581,2.010181,18.337294,0.000000,5.000000
              FINLAND,########,1.000000,0.000000,4.228292,9.679680,3.805345,9.210484,0.138486,2.079731,0.070183,3.081389,17.878458,0.000000,16.000000
               FRANCE,########,1.000000,0.000000,4.259859,9.260410,1.082378,9.367705,0.217680,2.209718,0.029975,2.580390,18.146399,0.000000,26.000000
